ratio,x,y
0.004640371229698376,2,431
0.009280742459396751,4,431
0.004640371229698376,2,431
0.002320185614849188,1,431
0.002320185614849188,1,431
0.4593967517401392,198,431
0.002320185614849188,1,431
0.002320185614849188,1,431
0.002320185614849188,1,431
0.7749419953596288,334,431
0.009280742459396751,4,431
0.002320185614849188,1,431
0.002320185614849188,1,431
0.004640371229698376,2,431
0.002320185614849188,1,431
0.1136890951276102,49,431
0.009280742459396751,4,431
0.002320185614849188,1,431
0.5522041763341067,238,431
0.002320185614849188,1,431
0.002320185614849188,1,431
0.002320185614849188,1,431
0.002320185614849188,1,431
0.002320185614849188,1,431
0.010101010101010102,1,99
0.010101010101010102,1,99
0.010101010101010102,1,99
0.030303030303030304,3,99
0.5757575757575758,57,99
0.35353535353535354,35,99
0.010752688172043012,1,93
0.010752688172043012,1,93
0.010752688172043012,1,93
0.010752688172043012,1,93
0.021505376344086023,2,93
0.010752688172043012,1,93
0.010752688172043012,1,93
0.010752688172043012,1,93
0.010752688172043012,1,93
0.8279569892473119,77,93
0.3870967741935484,36,93
0.010752688172043012,1,93
0.010752688172043012,1,93
0.010752688172043012,1,93
0.010752688172043012,1,93
0.010752688172043012,1,93
0.010752688172043012,1,93
0.010752688172043012,1,93
0.7849462365591398,73,93
0.010752688172043012,1,93
0.010752688172043012,1,93
0.010752688172043012,1,93
0.010752688172043012,1,93
0.010752688172043012,1,93
0.02654867256637168,6,226
0.8451327433628318,191,226
0.911504424778761,206,226
0.3407079646017699,77,226
0.02654867256637168,6,226
0.8849557522123894,200,226
0.8407079646017699,190,226
0.02654867256637168,6,226
0.00980392156862745,2,204
0.004901960784313725,1,204
0.004901960784313725,1,204
0.004901960784313725,1,204
0.029411764705882353,6,204
0.10784313725490197,22,204
0.014705882352941176,3,204
0.004901960784313725,1,204
0.05392156862745098,11,204
0.014705882352941176,3,204
0.014705882352941176,3,204
0.004901960784313725,1,204
0.014705882352941176,3,204
0.06862745098039216,14,204
